Kat [deg]	Moment obrotowy [mNm]
46,29	-5,236
46,32	-5,386
46,35	-5,220
46,38	-5,261
46,41	-5,217
46,44	-5,357
46,47	-5,440
46,50	-5,471
46,53	-5,383
46,56	-5,274
46,59	-5,440
46,62	-5,306
46,65	-5,399
46,68	-5,324
46,71	-5,444
46,74	-5,388
46,77	-5,463
46,80	-5,419
46,83	-5,432
46,86	-5,406
46,89	-5,433
46,92	-5,419
46,95	-5,468
46,98	-5,341
47,01	-5,278
47,04	-5,481
47,07	-5,263
47,10	-5,351
47,13	-5,342
47,16	-5,328
47,19	-5,267
47,22	-5,386
47,25	-5,484
47,28	-5,388
47,31	-5,430
47,34	-5,303
47,37	-5,492
47,40	-5,458
47,43	-5,487
47,46	-5,329
47,49	-5,460
47,52	-5,565
47,55	-5,470
47,58	-5,459
47,61	-5,500
47,64	-5,386
47,67	-5,574
47,70	-5,398
47,73	-5,460
47,76	-5,484
47,79	-5,451
47,82	-5,492
47,85	-5,513
47,88	-5,414
47,91	-5,535
47,94	-5,544
47,97	-5,596
48,00	-5,378
48,03	-5,530
48,06	-5,464
48,09	-5,555
48,12	-5,400
48,15	-5,471
48,18	-5,484
48,21	-5,451
48,24	-5,567
48,27	-5,408
48,30	-5,567
48,33	-5,531
48,36	-5,466
48,39	-5,502
48,42	-5,408
48,45	-5,608
48,48	-5,497
48,51	-5,490
48,54	-5,546
48,57	-5,421
48,60	-5,572
48,63	-5,597
48,66	-5,588
48,69	-5,567
48,72	-5,552
48,75	-5,531
48,78	-5,494
48,81	-5,534
48,84	-5,504
48,87	-5,417
48,90	-5,482
48,93	-5,502
48,96	-5,592
48,99	-5,550
49,02	-5,567
49,05	-5,509
49,08	-5,481
49,11	-5,460
49,14	-5,425
49,17	-5,632
49,20	-5,402
49,23	-5,433
49,26	-5,503
49,29	-5,451
49,32	-5,538
49,35	-5,551
49,38	-5,668
49,41	-5,552
49,44	-5,551
49,47	-5,594
49,50	-5,544
49,53	-5,430
49,56	-5,632
49,59	-5,532
49,62	-5,579
49,65	-5,603
49,68	-5,540
49,71	-5,654
49,74	-5,421
49,77	-5,618
49,80	-5,514
49,83	-5,715
49,86	-5,521
49,89	-5,676
49,92	-5,559
49,95	-5,573
49,98	-5,574
50,01	-5,540
50,04	-5,522
50,07	-5,535
50,10	-5,534
50,13	-5,639
50,16	-5,524
50,19	-5,609
50,22	-5,613
50,25	-5,529
50,28	-5,618
50,31	-5,510
50,34	-5,476
50,37	-5,588
50,40	-5,565
50,43	-5,534
50,46	-5,547
50,49	-5,533
50,52	-5,483
50,55	-5,568
50,58	-5,474
50,61	-5,455
50,64	-5,600
50,67	-5,505
50,70	-5,576
50,73	-5,441
50,76	-5,471
50,79	-5,499
50,82	-5,502
50,85	-5,423
50,88	-5,565
50,91	-5,616
50,94	-5,500
50,97	-5,501
51,00	-5,596
51,03	-5,511
51,06	-5,561
51,09	-5,516
51,12	-5,412
51,15	-5,514
51,18	-5,490
51,21	-5,481
51,24	-5,532
51,27	-5,579
51,30	-5,526
51,33	-5,533
51,36	-5,560
51,39	-5,565
51,42	-5,697
51,45	-5,481
51,48	-5,646
51,51	-5,511
51,54	-5,468
51,57	-5,595
51,60	-5,598
51,63	-5,517
51,66	-5,671
51,69	-5,597
51,72	-5,491
51,75	-5,570
51,78	-5,459
51,81	-5,594
51,84	-5,525
51,87	-5,575
51,90	-5,496
51,93	-5,604
51,96	-5,620
51,99	-5,529
52,02	-5,548
52,05	-5,587
52,08	-5,499
52,11	-5,544
52,14	-5,532
52,17	-5,603
52,20	-5,472
52,23	-5,570
52,26	-5,416
52,29	-5,589
52,32	-5,434
52,35	-5,680
52,38	-5,608
52,41	-5,599
52,44	-5,672
52,47	-5,573
52,50	-5,532
52,53	-5,422
52,56	-5,468
52,59	-5,580
52,62	-5,570
52,65	-5,563
52,68	-5,509
52,71	-5,475
52,74	-5,630
52,77	-5,523
52,80	-5,578
52,83	-5,491
52,86	-5,556
52,89	-5,546
52,92	-5,611
52,95	-5,521
52,98	-5,536
53,01	-5,505
53,04	-5,491
53,07	-5,491
53,10	-5,541
53,13	-5,467
53,16	-5,543
53,19	-5,578
53,22	-5,609
53,25	-5,498
53,28	-5,544
53,31	-5,683
53,34	-5,672
53,37	-5,610
53,40	-5,612
53,43	-5,457
53,46	-5,570
53,49	-5,461
53,52	-5,587
53,55	-5,517
53,58	-5,520
53,61	-5,381
53,64	-5,468
53,67	-5,451
53,70	-5,378
53,73	-5,411
53,76	-5,473
53,79	-5,479
53,82	-5,411
53,85	-5,483
53,88	-5,498
53,91	-5,441
53,94	-5,549
53,97	-5,583
54,00	-5,475
54,03	-5,427
54,06	-5,488
54,09	-5,590
54,12	-5,477
54,15	-5,414
54,18	-5,362
54,21	-5,472
54,24	-5,565
54,27	-5,464
54,30	-5,491
54,33	-5,409
54,36	-5,497
54,39	-5,520
54,42	-5,603
54,45	-5,474
54,48	-5,395
54,51	-5,449
54,54	-5,498
54,57	-5,527
54,60	-5,534
54,63	-5,499
54,66	-5,478
54,69	-5,571
54,72	-5,514
54,75	-5,472
54,78	-5,468
54,81	-5,538
54,84	-5,572
54,87	-5,597
54,90	-5,431
54,93	-5,423
54,96	-5,455
54,99	-5,521
55,02	-5,419
55,05	-5,320
55,08	-5,380
55,11	-5,440
55,14	-5,438
55,17	-5,467
55,20	-5,548
55,23	-5,458
55,26	-5,507
55,29	-5,463
55,32	-5,482
55,35	-5,458
55,38	-5,440
55,41	-5,386
55,44	-5,379
55,47	-5,538
55,50	-5,383
55,53	-5,508
55,56	-5,393
55,59	-5,532
55,62	-5,428
55,65	-5,435
55,68	-5,418
55,71	-5,332
55,74	-5,289
55,77	-5,465
55,80	-5,406
55,83	-5,323
55,86	-5,356
55,89	-5,407
55,92	-5,457
55,95	-5,438
55,98	-5,393
56,01	-5,414
56,04	-5,368
56,07	-5,453
56,10	-5,435
56,13	-5,381
56,16	-5,426
56,19	-5,330
56,22	-5,490
56,25	-5,396
56,28	-5,394
56,31	-5,296
56,34	-5,337
56,37	-5,295
56,40	-5,313
56,43	-5,382
56,46	-5,374
56,49	-5,501
56,52	-5,408
56,55	-5,427
56,58	-5,373
56,61	-5,405
56,64	-5,286
56,67	-5,371
56,70	-5,433
56,73	-5,344
56,76	-5,382
56,79	-5,339
56,82	-5,279
56,85	-5,370
56,88	-5,454
56,91	-5,392
56,94	-5,476
56,97	-5,405
57,00	-5,311
57,03	-5,440
57,06	-5,358
57,09	-5,294
57,12	-5,385
57,15	-5,245
57,18	-5,352
57,21	-5,379
57,24	-5,325
57,27	-5,279
57,30	-5,326
57,33	-5,408
57,36	-5,362
57,39	-5,319
57,42	-5,452
57,45	-5,411
57,48	-5,286
57,51	-5,471
57,54	-5,542
57,57	-5,434
57,60	-5,368
57,63	-5,465
57,66	-5,469
57,69	-5,450
57,72	-5,257
57,75	-5,365
57,78	-5,373
57,81	-5,344
57,84	-5,378
57,87	-5,238
57,90	-5,333
57,93	-5,286
57,96	-5,372
57,99	-5,377
58,02	-5,314
58,05	-5,299
58,08	-5,390
58,11	-5,345
58,14	-5,442
58,17	-5,265
58,20	-5,533
58,23	-5,343
58,26	-5,404
58,29	-5,383
58,32	-5,401
58,35	-5,371
58,38	-5,272
58,41	-5,427
58,44	-5,410
58,47	-5,469
58,50	-5,487
58,53	-5,428
58,56	-5,348
58,59	-5,463
58,62	-5,518
58,65	-5,454
58,68	-5,444
58,71	-5,452
58,74	-5,412
58,77	-5,402
58,80	-5,482
58,83	-5,456
58,86	-5,433
58,89	-5,417
58,92	-5,536
58,95	-5,329
58,98	-5,421
59,01	-5,528
59,04	-5,482
59,07	-5,459
59,10	-5,488
59,13	-5,532
59,16	-5,544
59,19	-5,445
59,22	-5,523
59,25	-5,557
59,28	-5,514
59,31	-5,602
59,34	-5,440
59,37	-5,515
59,40	-5,539
59,43	-5,515
59,46	-5,503
59,49	-5,622
59,52	-5,415
59,55	-5,601
59,58	-5,582
59,61	-5,573
59,64	-5,568
59,67	-5,468
59,70	-5,499
59,73	-5,459
59,76	-5,486
59,79	-5,515
59,82	-5,416
59,85	-5,483
59,88	-5,570
59,91	-5,641
59,94	-5,533
59,97	-5,544
60,00	-5,587
60,03	-5,521
60,06	-5,550
60,09	-5,591
60,12	-5,429
60,15	-5,453
60,18	-5,586
60,21	-5,647
60,24	-5,492
60,27	-5,549
60,30	-5,635
60,33	-5,508
60,36	-5,542
60,39	-5,630
60,42	-5,510
60,45	-5,588
60,48	-5,493
60,51	-5,551
60,54	-5,468
60,57	-5,545
60,60	-5,651
60,63	-5,566
60,66	-5,517
60,69	-5,608
60,72	-5,587
60,75	-5,664
60,78	-5,529
60,81	-5,501
60,84	-5,512
60,87	-5,510
60,90	-5,653
60,93	-5,638
60,96	-5,689
60,99	-5,671
61,02	-5,587
61,05	-5,619
61,08	-5,658
61,11	-5,657
61,14	-5,553
61,17	-5,697
61,20	-5,583
61,23	-5,659
61,26	-5,545
61,29	-5,650
61,32	-5,706
61,35	-5,500
61,38	-5,548
61,41	-5,519
61,44	-5,616
61,47	-5,610
61,50	-5,620
61,53	-5,683
61,56	-5,733
61,59	-5,582
61,62	-5,596
61,65	-5,679
61,68	-5,478
61,71	-5,691
61,74	-5,492
61,77	-5,571
61,80	-5,506
61,83	-5,581
61,86	-5,608
61,89	-5,607
61,92	-5,546
61,95	-5,649
61,98	-5,612
62,01	-5,586
62,04	-5,561
62,07	-5,703
62,10	-5,635
62,13	-5,532
62,16	-5,620
62,19	-5,575
62,22	-5,618
62,25	-5,619
62,28	-5,492
62,31	-5,646
62,34	-5,499
62,37	-5,653
62,40	-5,653
62,43	-5,508
62,46	-5,689
62,49	-5,606
62,52	-5,621
62,55	-5,662
62,58	-5,739
62,61	-5,579
62,64	-5,611
62,67	-5,480
62,70	-5,622
62,73	-5,556
62,76	-5,516
62,79	-5,549
62,82	-5,624
62,85	-5,492
62,88	-5,602
62,91	-5,424
62,94	-5,512
62,97	-5,596
63,00	-5,641
63,03	-5,620
63,06	-5,576
63,09	-5,550
63,12	-5,592
63,15	-5,557
63,18	-5,553
63,21	-5,567
63,24	-5,519
63,27	-5,627
63,30	-5,611
63,33	-5,652
63,36	-5,643
63,39	-5,626
63,42	-5,566
63,45	-5,468
63,48	-5,599
63,51	-5,428
63,54	-5,474
63,57	-5,588
63,60	-5,549
63,63	-5,512
63,66	-5,586
63,69	-5,426
63,72	-5,510
63,75	-5,538
63,78	-5,644
63,81	-5,567
63,84	-5,596
63,87	-5,561
63,90	-5,666
63,93	-5,496
63,96	-5,518
63,99	-5,596
64,02	-5,581
64,05	-5,705
64,08	-5,608
64,11	-5,559
64,14	-5,522
64,17	-5,619
64,20	-5,567
64,23	-5,582
64,26	-5,614
64,29	-5,610
64,32	-5,611
64,35	-5,638
64,38	-5,531
64,41	-5,485
64,44	-5,607
64,47	-5,492
64,50	-5,510
64,53	-5,560
64,56	-5,605
64,59	-5,686
64,62	-5,540
64,65	-5,599
64,68	-5,602
64,71	-5,641
64,74	-5,475
64,77	-5,488
64,80	-5,629
64,83	-5,634
64,86	-5,447
64,89	-5,552
64,92	-5,530
64,95	-5,535
64,98	-5,623
65,01	-5,523
65,04	-5,706
65,07	-5,543
65,10	-5,520
65,13	-5,468
65,16	-5,615
65,19	-5,537
65,22	-5,553
65,25	-5,617
65,28	-5,637
65,31	-5,595
65,34	-5,560
65,37	-5,606
65,40	-5,566
65,43	-5,597
65,46	-5,494
65,49	-5,524
65,52	-5,623
65,55	-5,417
65,58	-5,599
65,61	-5,467
65,64	-5,446
65,67	-5,414
65,70	-5,579
65,73	-5,482
65,76	-5,556
65,79	-5,489
65,82	-5,563
65,85	-5,547
65,88	-5,538
65,91	-5,588
65,94	-5,703
65,97	-5,560
66,00	-5,506
66,03	-5,460
66,06	-5,452
66,09	-5,519
66,12	-5,580
66,15	-5,555
66,18	-5,556
66,21	-5,506
66,24	-5,554
66,27	-5,590
66,30	-5,576
66,33	-5,650
66,36	-5,644
66,39	-5,555
66,42	-5,328
66,45	-5,627
66,48	-5,567
66,51	-5,590
66,54	-5,653
66,57	-5,596
66,60	-5,538
66,63	-5,635
66,66	-5,514
66,69	-5,590
66,72	-5,619
66,75	-5,669
66,78	-5,532
66,81	-5,535
66,84	-5,491
66,87	-5,449
66,90	-5,518
66,93	-5,444
66,96	-5,556
66,99	-5,482
67,02	-5,522
67,05	-5,588
67,08	-5,527
67,11	-5,547
67,14	-5,550
67,17	-5,499
67,20	-5,467
67,23	-5,561
67,26	-5,491
67,29	-5,553
67,32	-5,498
67,35	-5,530
67,38	-5,534
67,41	-5,586
67,44	-5,512
67,47	-5,466
67,50	-5,514
67,53	-5,471
67,56	-5,531
67,59	-5,558
67,62	-5,653
67,65	-5,610
67,68	-5,549
67,71	-5,506
67,74	-5,555
67,77	-5,465
67,80	-5,530
67,83	-5,576
67,86	-5,392
67,89	-5,525
67,92	-5,509
67,95	-5,556
67,98	-5,598
68,01	-5,437
68,04	-5,446
68,07	-5,559
68,10	-5,532
68,13	-5,488
68,16	-5,490
68,19	-5,519
68,22	-5,460
68,25	-5,477
68,28	-5,468
68,31	-5,563
68,34	-5,468
68,37	-5,387
68,40	-5,456
68,43	-5,444
68,46	-5,348
68,49	-5,487
68,52	-5,458
68,55	-5,544
68,58	-5,555
68,61	-5,549
68,64	-5,522
68,67	-5,457
68,70	-5,521
68,73	-5,528
68,76	-5,549
68,79	-5,570
68,82	-5,461
68,85	-5,563
68,88	-5,442
68,91	-5,533
68,94	-5,521
68,97	-5,539
69,00	-5,427
69,03	-5,431
69,06	-5,468
69,09	-5,365
69,12	-5,518
69,15	-5,470
69,18	-5,568
69,21	-5,421
69,24	-5,506
69,27	-5,394
69,30	-5,484
69,33	-5,553
69,36	-5,454
69,39	-5,438
69,42	-5,520
69,45	-5,562
69,48	-5,481
69,51	-5,315
69,54	-5,574
69,57	-5,571
69,60	-5,503
69,63	-5,486
69,66	-5,502
69,69	-5,580
69,72	-5,503
69,75	-5,374
69,78	-5,516
69,81	-5,385
69,84	-5,575
69,87	-5,671
69,90	-5,491
69,93	-5,636
69,96	-5,552
69,99	-5,573
70,02	-5,690
70,05	-5,503
70,08	-5,499
70,11	-5,524
70,14	-5,433
70,17	-5,513
70,20	-5,494
70,23	-5,461
70,26	-5,465
70,29	-5,584
70,32	-5,536
70,35	-5,506
70,38	-5,588
70,41	-5,519
70,44	-5,544
70,47	-5,576
70,50	-5,529
70,53	-5,586
70,56	-5,426
70,59	-5,538
70,62	-5,441
70,65	-5,381
70,68	-5,484
70,71	-5,661
70,74	-5,605
70,77	-5,562
70,80	-5,478
70,83	-5,667
70,86	-5,479
70,89	-5,540
70,92	-5,521
70,95	-5,656
70,98	-5,501
71,01	-5,573
71,04	-5,647
71,07	-5,540
71,10	-5,534
71,13	-5,571
71,16	-5,435
71,19	-5,454
71,22	-5,502
71,25	-5,483
71,28	-5,511
71,31	-5,416
71,34	-5,573
71,37	-5,489
71,40	-5,506
71,43	-5,514
71,46	-5,535
71,49	-5,525
71,52	-5,464
71,55	-5,571
71,58	-5,427
71,61	-5,427
71,64	-5,515
71,67	-5,435
71,70	-5,429
71,73	-5,435
71,76	-5,450
71,79	-5,459
71,82	-5,379
71,85	-5,704
71,88	-5,470
71,91	-5,523
71,94	-5,520
71,97	-5,630
72,00	-5,517
72,03	-5,564
72,06	-5,446
72,09	-5,557
72,12	-5,537
72,15	-5,552
72,18	-5,624
72,21	-5,506
72,24	-5,521
72,27	-5,591
72,30	-5,572
72,33	-5,554
72,36	-5,498
72,39	-5,465
72,42	-5,426
72,45	-5,472
72,48	-5,514
72,51	-5,484
72,54	-5,419
72,57	-5,491
72,60	-5,399
72,63	-5,562
72,66	-5,495
72,69	-5,534
72,72	-5,550
72,75	-5,404
72,78	-5,434
72,81	-5,400
72,84	-5,549
72,87	-5,451
72,90	-5,428
72,93	-5,443
72,96	-5,466
72,99	-5,478
73,02	-5,456
73,05	-5,307
73,08	-5,352
73,11	-5,387
73,14	-5,393
73,17	-5,481
73,20	-5,470
73,23	-5,368
73,26	-5,377
73,29	-5,374
73,32	-5,361
73,35	-5,331
73,38	-5,437
73,41	-5,400
73,44	-5,350
73,47	-5,392
73,50	-5,344
73,53	-5,290
73,56	-5,319
73,59	-5,365
73,62	-5,337
73,65	-5,504
73,68	-5,451
73,71	-5,383
73,74	-5,414
73,77	-5,389
73,80	-5,295
73,83	-5,288
73,86	-5,348
73,89	-5,404
73,92	-5,482
73,95	-5,362
73,98	-5,330
74,01	-5,307
74,04	-5,302
74,07	-5,363
74,10	-5,294
74,13	-5,314
74,16	-5,304
74,19	-5,354
74,22	-5,313
74,25	-5,313
74,28	-5,371
74,31	-5,300
74,34	-5,356
74,37	-5,435
74,40	-5,332
74,43	-5,231
74,46	-5,414
74,49	-5,333
74,52	-5,203
74,55	-5,339
74,58	-5,331
74,61	-5,349
74,64	-5,489
74,67	-5,319
74,70	-5,324
74,73	-5,410
74,76	-5,361
74,79	-5,177
74,82	-5,283
74,85	-5,385
74,88	-5,326
74,91	-5,202
74,94	-5,327
74,97	-5,355
75,00	-5,291
75,03	-5,227
75,06	-5,261
75,09	-5,397
75,12	-5,313
75,15	-5,380
75,18	-5,371
75,21	-5,189
75,24	-5,252
75,27	-5,244
75,30	-5,380
75,33	-5,447
75,36	-5,286
75,39	-5,314
75,42	-5,357
75,45	-5,404
75,48	-5,372
75,51	-5,310
75,54	-5,279
75,57	-5,343
75,60	-5,285
75,63	-5,454
75,66	-5,362
75,69	-5,357
75,72	-5,443
75,75	-5,281
75,78	-5,202
75,81	-5,323
75,84	-5,229
75,87	-5,430
75,90	-5,372
75,93	-5,388
75,96	-5,313
75,99	-5,294
76,02	-5,396
76,05	-5,458
76,08	-5,437
76,11	-5,289
76,14	-5,259
76,17	-5,419
76,20	-5,415
76,23	-5,439
76,26	-5,362
76,29	-5,380
76,32	-5,382
76,35	-5,486
76,38	-5,338
76,41	-5,277
76,44	-5,472
76,47	-5,381
76,50	-5,488
76,53	-5,447
76,56	-5,403
76,59	-5,465
76,62	-5,438
76,65	-5,519
76,68	-5,503
76,71	-5,473
76,74	-5,415
76,77	-5,417
76,80	-5,310
76,83	-5,315
76,86	-5,215
76,89	-5,279
76,92	-5,286
76,95	-5,357
76,98	-5,354
77,01	-5,416
77,04	-5,375
77,07	-5,363
77,10	-5,301
77,13	-5,437
77,16	-5,358
77,19	-5,424
77,22	-5,466
77,25	-5,325
77,28	-5,453
77,31	-5,423
77,34	-5,555
77,37	-5,460
77,40	-5,372
77,43	-5,526
77,46	-5,367
77,49	-5,414
77,52	-5,387
77,55	-5,469
77,58	-5,504
77,61	-5,377
77,64	-5,329
77,67	-5,414
77,70	-5,402
77,73	-5,427
77,76	-5,409
77,79	-5,416
77,82	-5,432
77,85	-5,526
77,88	-5,389
77,91	-5,488
77,94	-5,339
77,97	-5,587
78,00	-5,396
78,03	-5,393
78,06	-5,490
78,09	-5,494
78,12	-5,447
78,15	-5,452
78,18	-5,499
78,21	-5,475
78,24	-5,395
78,27	-5,452
78,30	-5,507
78,33	-5,526
78,36	-5,518
78,39	-5,427
78,42	-5,554
78,45	-5,537
78,48	-5,372
78,51	-5,308
78,54	-5,344
78,57	-5,523
78,60	-5,465
78,63	-5,390
78,66	-5,420
78,69	-5,358
78,72	-5,326
78,75	-5,410
78,78	-5,460
78,81	-5,463
78,84	-5,417
78,87	-5,497
78,90	-5,384
78,93	-5,382
78,96	-5,370
78,99	-5,469
79,02	-5,402
79,05	-5,376
79,08	-5,579
79,11	-5,428
79,14	-5,554
79,17	-5,526
79,20	-5,586
79,23	-5,509
79,26	-5,464
79,29	-5,441
79,32	-5,426
79,35	-5,477
79,38	-5,431
79,41	-5,531
79,44	-5,419
79,47	-5,485
79,50	-5,573
79,53	-5,501
79,56	-5,489
79,59	-5,594
79,62	-5,641
79,65	-5,433
79,68	-5,592
79,71	-5,440
79,74	-5,581
79,77	-5,625
79,80	-5,629
79,83	-5,487
79,86	-5,605
79,89	-5,482
79,92	-5,508
79,95	-5,558
79,98	-5,467
80,01	-5,454
80,04	-5,600
80,07	-5,463
80,10	-5,444
80,13	-5,593
80,16	-5,499
80,19	-5,488
80,22	-5,538
80,25	-5,522
80,28	-5,607
80,31	-5,608
80,34	-5,649
80,37	-5,439
80,40	-5,452
80,43	-5,580
80,46	-5,632
80,49	-5,549
80,52	-5,570
80,55	-5,526
80,58	-5,562
80,61	-5,529
80,64	-5,646
80,67	-5,428
80,70	-5,433
80,73	-5,592
80,76	-5,498
80,79	-5,684
80,82	-5,657
80,85	-5,719
80,88	-5,688
80,91	-5,664
80,94	-5,726
80,97	-5,678
81,00	-5,587
81,03	-5,726
81,06	-5,562
81,09	-5,685
81,12	-5,706
81,15	-5,595
81,18	-5,661
81,21	-5,675
81,24	-5,767
81,27	-5,643
81,30	-5,724
81,33	-5,709
81,36	-5,718
81,39	-5,677
81,42	-5,722
81,45	-5,661
81,48	-5,792
81,51	-5,660
81,54	-5,788
81,57	-5,648
81,60	-5,649
81,63	-5,692
81,66	-5,742
81,69	-5,647
81,72	-5,633
81,75	-5,618
81,78	-5,723
81,81	-5,618
81,84	-5,686
81,87	-5,772
81,90	-5,840
81,93	-5,723
81,96	-5,758
81,99	-5,656
82,02	-5,751
82,05	-5,628
82,08	-5,703
82,11	-5,765
82,14	-5,685
82,17	-5,594
82,20	-5,666
82,23	-5,604
82,26	-5,793
82,29	-5,644
82,32	-5,756
82,35	-5,617
82,38	-5,614
82,41	-5,617
82,44	-5,613
82,47	-5,615
82,50	-5,706
82,53	-5,614
82,56	-5,654
82,59	-5,790
82,62	-5,628
82,65	-5,771
82,68	-5,730
82,71	-5,636
82,74	-5,677
82,77	-5,799
82,80	-5,738
82,83	-5,707
82,86	-5,831
82,89	-5,711
82,92	-5,572
82,95	-5,693
82,98	-5,626
83,01	-5,741
83,04	-5,568
83,07	-5,598
83,10	-5,689
83,13	-5,640
83,16	-5,622
83,19	-5,567
83,22	-5,819
83,25	-5,635
83,28	-5,665
83,31	-5,581
83,34	-5,642
83,37	-5,726
83,40	-5,720
83,43	-5,535
83,46	-5,662
83,49	-5,679
83,52	-5,565
83,55	-5,470
83,58	-5,665
83,61	-5,692
83,64	-5,484
83,67	-5,606
83,70	-5,558
83,73	-5,533
83,76	-5,668
83,79	-5,629
83,82	-5,678
83,85	-5,636
83,88	-5,664
83,91	-5,600
83,94	-5,700
83,97	-5,624
84,00	-5,543
84,03	-5,612
84,06	-5,650
84,09	-5,639
84,12	-5,521
84,15	-5,678
84,18	-5,640
84,21	-5,464
84,24	-5,557
84,27	-5,582
84,30	-5,463
84,33	-5,677
84,36	-5,464
84,39	-5,457
84,42	-5,461
84,45	-5,375
84,48	-5,545
84,51	-5,427
84,54	-5,566
84,57	-5,555
84,60	-5,572
84,63	-5,518
84,66	-5,595
84,69	-5,475
84,72	-5,520
84,75	-5,479
84,78	-5,440
84,81	-5,520
84,84	-5,466
84,87	-5,448
84,90	-5,509
84,93	-5,523
84,96	-5,463
84,99	-5,546
85,02	-5,517
85,05	-5,596
85,08	-5,497
85,11	-5,465
85,14	-5,473
85,17	-5,458
85,20	-5,385
85,23	-5,469
85,26	-5,426
85,29	-5,506
85,32	-5,449
85,35	-5,477
85,38	-5,458
85,41	-5,426
85,44	-5,468
85,47	-5,513
85,50	-5,472
85,53	-5,454
85,56	-5,379
85,59	-5,438
85,62	-5,576
85,65	-5,399
85,68	-5,488
85,71	-5,472
85,74	-5,481
85,77	-5,482
85,80	-5,352
85,83	-5,525
85,86	-5,350
85,89	-5,516
85,92	-5,352
85,95	-5,546
85,98	-5,381
86,01	-5,482
86,04	-5,354
86,07	-5,472
86,10	-5,361
86,13	-5,392
86,16	-5,577
86,19	-5,417
86,22	-5,449
86,25	-5,294
86,28	-5,479
86,31	-5,413
86,34	-5,368
86,37	-5,323
86,40	-5,368
86,43	-5,336
86,46	-5,412
86,49	-5,472
86,52	-5,495
86,55	-5,444
86,58	-5,424
86,61	-5,420
86,64	-5,452
86,67	-5,514
86,70	-5,437
86,73	-5,387
86,76	-5,457
86,79	-5,226
86,82	-5,445
86,85	-5,411
86,88	-5,492
86,91	-5,527
86,94	-5,335
86,97	-5,511
87,00	-5,354
87,03	-5,383
87,06	-5,347
87,09	-5,460
87,12	-5,257
87,15	-5,348
87,18	-5,412
87,21	-5,458
87,24	-5,369
87,27	-5,400
87,30	-5,491
87,33	-5,350
87,36	-5,323
87,39	-5,537
87,42	-5,599
87,45	-5,509
87,48	-5,537
87,51	-5,506
87,54	-5,504
87,57	-5,476
87,60	-5,410
87,63	-5,470
87,66	-5,404
87,69	-5,465
87,72	-5,355
87,75	-5,471
87,78	-5,396
87,81	-5,377
87,84	-5,475
87,87	-5,568
87,90	-5,518
87,93	-5,436
87,96	-5,453
87,99	-5,413
88,02	-5,452
88,05	-5,437
88,08	-5,425
88,11	-5,530
88,14	-5,552
88,17	-5,486
88,20	-5,499
88,23	-5,514
88,26	-5,430
88,29	-5,418
88,32	-5,407
88,35	-5,435
88,38	-5,458
88,41	-5,373
88,44	-5,331
88,47	-5,569
88,50	-5,511
88,53	-5,372
88,56	-5,455
88,59	-5,339
88,62	-5,477
88,65	-5,487
88,68	-5,409
88,71	-5,493
88,74	-5,468
88,77	-5,413
88,80	-5,396
88,83	-5,553
88,86	-5,521
88,89	-5,428
88,92	-5,426
88,95	-5,475
88,98	-5,414
89,01	-5,495
89,04	-5,414
89,07	-5,449
89,10	-5,294
89,13	-5,276
89,16	-5,360
89,19	-5,451
89,22	-5,316
89,25	-5,322
89,28	-5,449
89,31	-5,295
89,34	-5,450
89,37	-5,356
89,40	-5,457
89,43	-5,480
89,46	-5,332
89,49	-5,516
89,52	-5,435
89,55	-5,426
89,58	-5,380
89,61	-5,321
89,64	-5,387
89,67	-5,408
89,70	-5,349
89,73	-5,430
89,76	-5,317
89,79	-5,459
89,82	-5,367
89,85	-5,468
89,88	-5,360
89,91	-5,461
89,94	-5,423
89,97	-5,397
90,00	-5,429
90,03	-5,516
90,06	-5,376
90,09	-5,414
90,12	-5,521
90,15	-5,427
90,18	-5,460
90,21	-5,498
90,24	-5,331
90,27	-5,423
90,30	-5,460
90,33	-5,430
90,36	-5,335
90,39	-5,503
90,42	-5,471
90,45	-5,362
90,48	-5,445
90,51	-5,447
90,54	-5,470
90,57	-5,405
90,60	-5,383
90,63	-5,588
90,66	-5,403
90,69	-5,474
90,72	-5,523
90,75	-5,401
90,78	-5,433
90,81	-5,358
90,84	-5,468
90,87	-5,505
90,90	-5,258
90,93	-5,405
90,96	-5,427
90,99	-5,380
91,02	-5,377
91,05	-5,388
91,08	-5,478
91,11	-5,410
91,14	-5,480
91,17	-5,535
91,20	-5,508
91,23	-5,481
91,26	-5,418
91,29	-5,564
91,32	-5,466
91,35	-5,473
91,38	-5,390
91,41	-5,437
91,44	-5,425
91,47	-5,472
91,50	-5,412
91,53	-5,452
91,56	-5,484
91,59	-5,547
91,62	-5,465
91,65	-5,498
91,68	-5,484
91,71	-5,476
91,74	-5,548
91,77	-5,381
91,80	-5,480
91,83	-5,419
91,86	-5,482
91,89	-5,413
91,92	-5,509
91,95	-5,483
91,98	-5,548
92,01	-5,443
92,04	-5,527
92,07	-5,577
92,10	-5,641
92,13	-5,483
92,16	-5,487
92,19	-5,569
92,22	-5,569
92,25	-5,474
92,28	-5,616
92,31	-5,512
92,34	-5,546
92,37	-5,558
92,40	-5,610
92,43	-5,593
92,46	-5,493
92,49	-5,634
92,52	-5,552
92,55	-5,493
92,58	-5,623
92,61	-5,480
92,64	-5,479
92,67	-5,545
92,70	-5,669
92,73	-5,574
92,76	-5,594
92,79	-5,499
92,82	-5,518
92,85	-5,598
